Time,Close Price,Difference,Return
2015-07-31,"2,103.9200",-4.7100,-0.2234
2015-08-03,"2,098.0400",-5.8799,-0.2795
2015-08-04,"2,093.3200",-4.7200,-0.2250
2015-08-05,"2,099.8400",6.5200,0.3115
2015-08-06,"2,083.5600",-16.2800,-0.7753
2015-08-07,"2,077.5700",-5.9900,-0.2875
2015-08-10,"2,104.1800",26.6099,1.2808
2015-08-11,"2,084.0700",-20.1099,-0.9557
2015-08-12,"2,086.0500",1.9800,0.0950
2015-08-13,"2,083.3900",-2.6602,-0.1275
2015-08-14,"2,091.5400",8.1501,0.3912
2015-08-17,"2,102.4400",10.8999,0.5211
2015-08-18,"2,096.9200",-5.5200,-0.2626
2015-08-19,"2,079.6100",-17.3098,-0.8255
2015-08-20,"2,035.7300",-43.8801,-2.1100
2015-08-21,"1,970.8900",-64.8400,-3.1851
2015-08-24,"1,893.2100",-77.6801,-3.9414
2015-08-25,"1,867.6200",-25.5900,-1.3517
2015-08-26,"1,940.5100",72.8900,3.9028
2015-08-27,"1,987.6600",47.1500,2.4298
2015-08-28,"1,988.8700",1.2100,0.0609
2015-08-31,"1,972.1800",-16.6899,-0.8392
2015-09-01,"1,913.8500",-58.3301,-2.9576
2015-09-02,"1,948.8600",35.0100,1.8293
2015-09-03,"1,951.1300",2.2700,0.1165
2015-09-04,"1,921.2200",-29.9100,-1.5330
2015-09-08,"1,969.4100",48.1901,2.5083
2015-09-09,"1,942.0400",-27.3700,-1.3898
2015-09-10,"1,952.2900",10.2500,0.5278
2015-09-11,"1,961.0500",8.7600,0.4487
2015-09-14,"1,953.0300",-8.0200,-0.4090
2015-09-15,"1,978.0900",25.0599,1.2831
2015-09-16,"1,995.3100",17.2201,0.8705
2015-09-17,"1,990.2000",-5.1101,-0.2561
2015-09-18,"1,958.0800",-32.1200,-1.6139
2015-09-21,"1,966.9700",8.8900,0.4540
2015-09-22,"1,942.7400",-24.2300,-1.2318
2015-09-23,"1,938.7600",-3.9800,-0.2049
2015-09-24,"1,932.2400",-6.5200,-0.3363
2015-09-25,"1,931.3400",-0.9000,-0.0466
2015-09-28,"1,881.7700",-49.5699,-2.5666
2015-09-29,"1,884.0900",2.3199,0.1233
2015-09-30,"1,920.0300",35.9401,1.9076
2015-10-01,"1,923.8200",3.7899,0.1974
2015-10-02,"1,951.3600",27.5400,1.4315
2015-10-05,"1,987.0500",35.6901,1.8290
2015-10-06,"1,979.9200",-7.1300,-0.3588
2015-10-07,"1,995.8300",15.9099,0.8036
2015-10-08,"2,013.4300",17.6001,0.8818
2015-10-09,"2,014.8900",1.4600,0.0725
2015-10-12,"2,017.4600",2.5699,0.1275
2015-10-13,"2,003.6900",-13.7700,-0.6825
2015-10-14,"1,994.2400",-9.4500,-0.4716
2015-10-15,"2,023.8600",29.6200,1.4853
2015-10-16,"2,033.1100",9.2500,0.4570
2015-10-19,"2,033.6600",0.5500,0.0271
2015-10-20,"2,030.7700",-2.8900,-0.1421
2015-10-21,"2,018.9400",-11.8301,-0.5825
2015-10-22,"2,052.5100",33.5701,1.6628
2015-10-23,"2,075.1500",22.6399,1.1030
2015-10-26,"2,071.1800",-3.9700,-0.1913
2015-10-27,"2,065.8900",-5.2900,-0.2554
2015-10-28,"2,090.3500",24.4602,1.1840
2015-10-29,"2,089.4100",-0.9402,-0.0450
2015-10-30,"2,079.3600",-10.0498,-0.4810
2015-11-02,"2,103.2800",23.9199,1.1503
2015-11-03,"2,109.7900",6.5100,0.3095
2015-11-04,"2,102.3100",-7.4800,-0.3545
2015-11-05,"2,099.9300",-2.3801,-0.1132
2015-11-06,"2,099.2000",-0.7300,-0.0348
2015-11-09,"2,078.5800",-20.6199,-0.9823
2015-11-10,"2,081.7200",3.1399,0.1511
2015-11-11,"2,075.0000",-6.7200,-0.3228
2015-11-12,"2,045.9700",-29.0300,-1.3990
2015-11-13,"2,023.0400",-22.9299,-1.1207
2015-11-16,"2,053.1900",30.1499,1.4903
2015-11-17,"2,050.4400",-2.7500,-0.1339
2015-11-18,"2,083.5800",33.1401,1.6162
2015-11-19,"2,081.2400",-2.3401,-0.1123
2015-11-20,"2,089.1700",7.9299,0.3810
2015-11-23,"2,086.5900",-2.5798,-0.1235
2015-11-24,"2,089.1400",2.5498,0.1222
2015-11-25,"2,088.8700",-0.2698,-0.0129
2015-11-27,"2,090.1100",1.2400,0.0594
2015-11-30,"2,080.4100",-9.7002,-0.4641
2015-12-01,"2,102.6300",22.2200,1.0681
2015-12-02,"2,079.5100",-23.1199,-1.0996
2015-12-03,"2,049.6200",-29.8899,-1.4374
2015-12-04,"2,091.6900",42.0698,2.0526
2015-12-07,"2,077.0700",-14.6199,-0.6990
2015-12-08,"2,063.5900",-13.4800,-0.6490
2015-12-09,"2,047.6200",-15.9701,-0.7739
2015-12-10,"2,052.2300",4.6100,0.2251
2015-12-11,"2,012.3700",-39.8600,-1.9423
2015-12-14,"2,021.9400",9.5699,0.4756
2015-12-15,"2,043.4100",21.4701,1.0619
2015-12-16,"2,073.0700",29.6600,1.4515
2015-12-17,"2,041.8900",-31.1801,-1.5041
2015-12-18,"2,005.5200",-36.3700,-1.7812
2015-12-21,"2,021.1500",15.6300,0.7793
